ID,site number,site location,cluster name,site acronym,date,month,sample type,Tot N (mg/L (0<mdl)),Diss N (mg/L (0<mdl)),Tot P (ug/L (0<mdl)),Diss P (ug/L (0<mdl)),nitrate_nitrogen,ammonium_nitrogen,dissolved_organic_nitrogen,nutrient comments
3.8220000000000000e+03,"Green Out","Greenway WTP Outlet","srp","Green Out","07/12/05 00:00:00","07/12/05 00:00:00",,,7.9000000000000001e-02,,,,,,
3.8230000000000000e+03,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","07/12/05 00:00:00","07/12/05 00:00:00",,,8.1000000000000003e-02,1.8600000000000001e+01,,,,,
3.8240000000000000e+03,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","07/12/05 00:00:00","07/12/05 00:00:00",,,6.6000000000000003e-02,,,,,,
3.8250000000000000e+03,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","07/12/05 00:00:00","07/12/05 00:00:00",,,8.9999999999999997e-02,0.0000000000000000e+00,,,,,
3.8260000000000000e+03,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","07/12/05 00:00:00","07/12/05 00:00:00",,,1.7899999999999999e-01,2.1000000000000001e+00,,,,,
3.8270000000000000e+03,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","07/12/05 00:00:00","07/12/05 00:00:00",,,1.1300000000000000e-01,0.0000000000000000e+00,,,,,
3.8280000000000000e+03,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","07/12/05 00:00:00","07/12/05 00:00:00",,,1.3800000000000001e-01,0.0000000000000000e+00,,,,,
3.8290000000000000e+03,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","07/12/05 00:00:00","07/12/05 00:00:00",,,1.3600000000000001e-01,1.1500000000000000e+01,,,,,
3.8300000000000000e+03,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","07/12/05 00:00:00","07/12/05 00:00:00",,,1.3100000000000001e-01,9.0000000000000000e+00,,,,,
3.8310000000000000e+03,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","07/12/05 00:00:00","07/12/05 00:00:00",,,2.0399999999999999e-01,5.0000000000000000e+00,,,,,
3.8320000000000000e+03,"R20","Verde River at Tangle","verde","verde abv horseshoe","07/12/05 00:00:00","07/12/05 00:00:00",,,1.2400000000000000e-01,4.4500000000000000e+01,,,,,
3.8330000000000000e+03,"Havasu 1","Havasu lake Sample",,"Havasu 1","07/12/05 00:00:00","07/12/05 00:00:00",,,1.4599999999999999e-01,0.0000000000000000e+00,,,,,
3.8340000000000000e+03,"Havasu 2","Havasu lake Sample",,"Havasu 2","07/12/05 00:00:00","07/12/05 00:00:00",,,,,,,,,
