ID,site number,site location,cluster name,site acronym,date,month,sample type,conductance (uS/cm),chl A (ug/L),phaeophytin (ug/L),phaeophytin chl A (ug/L),chlorophyta (organisms/ml),cyanophyta (organisms/ml),bacillariophyta (organisms/ml),total (organisms/ml),algae comments
6614,"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","11/02/09 00:00:00","11/02/09 00:00:00",,,,,,,,,,
6615,"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","11/02/09 00:00:00","11/02/09 00:00:00",,,,,,,,,,
6616,"R3","Waddell Canal","cap","waddell canal","12/07/09 00:00:00","12/07/09 00:00:00",,933,,,,,,,,
6617,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","12/07/09 00:00:00","12/07/09 00:00:00",,1022,,,,,,,,
6618,"R11","CAP Canal at Cross-connect","cap","cap @ x con","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6619,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","12/07/09 00:00:00","12/07/09 00:00:00",,846,,,,,,,,
6620,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","12/07/09 00:00:00","12/07/09 00:00:00",,837,,,,,,,,
6621,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","12/07/09 00:00:00","12/07/09 00:00:00",,873,,,,,,,,
6622,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6623,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","12/07/09 00:00:00","12/07/09 00:00:00",,896,,,,,,,,
6624,"R17","Deer Valley WTP treated water","srp","deer valley-treated","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6625,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","12/07/09 00:00:00","12/07/09 00:00:00",,920,,,,,,,,
6626,"R19","Val Vista WTP treated water","srp","val vista-treated","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6627,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","12/07/09 00:00:00","12/07/09 00:00:00",,889,,,,,,,,
6628,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","12/07/09 00:00:00","12/07/09 00:00:00",,733,,,,,,,,
6629,"R25","verde river at beeline highway","verde","verde @ beeline","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6630,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","12/07/09 00:00:00","12/07/09 00:00:00",,685,,,,,,,,
6631,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","12/07/09 00:00:00","12/07/09 00:00:00",,881,,,,,,,,
6632,"UH In","Union Hills Inlet","cap","Union Hills Inlet","12/07/09 00:00:00","12/07/09 00:00:00",,948,,,,,,,,
6633,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6634,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","12/07/09 00:00:00","12/07/09 00:00:00",,872,,,,,,,,
6635,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6636,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","12/07/09 00:00:00","12/07/09 00:00:00",,921,,,,,,,,
6637,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","12/07/09 00:00:00","12/07/09 00:00:00",,899,,,,,,,,
6638,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","12/07/09 00:00:00","12/07/09 00:00:00",,858,,,,,,,,
6639,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6640,"Green In","Greenway WTP Inlet","srp","Green In","12/07/09 00:00:00","12/07/09 00:00:00",,896,,,,,,,,
6641,"Green Out","Greenway WTP Outlet","srp","Green Out","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6642,"Glendale In","Glendale WTP Inlet","srp","Glen In","12/07/09 00:00:00","12/07/09 00:00:00",,906,,,,,,,,
6643,"Glendale Out","Glendale WTP Outlet","srp","Glen Out","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6644,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","12/07/09 00:00:00","12/07/09 00:00:00",,1000,,,,,,,,
6645,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6646,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","12/07/09 00:00:00","12/07/09 00:00:00",,524,,,,,,,,
6647,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6648,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","12/07/09 00:00:00","12/07/09 00:00:00",,1043,,,,,,,,
6649,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6650,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6651,"R20","Verde River at Tangle","verde","verde abv horseshoe","12/07/09 00:00:00","12/07/09 00:00:00",,596,,,,,,,,
6652,"Havasu 1","Havasu lake Sample",,"Havasu 1","12/07/09 00:00:00","12/07/09 00:00:00",,946,,,,,,,,
6653,"Havasu 2","Havasu lake Sample",,"Havasu 2","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6654,"Roosvelt","SRP above Roosevelt Lake",,"Above Roosevelt","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6655,"R1","CAP canal above Waddell Canal","cap","cap-siphon","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6656,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6657,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6658,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6659,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6660,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6661,"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6662,"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","12/07/09 00:00:00","12/07/09 00:00:00",,,,,,,,,,
6663,"R3","Waddell Canal","cap","waddell canal","01/04/10 00:00:00","01/04/10 00:00:00",,928,,,,,,,,
6664,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6665,"R11","CAP Canal at Cross-connect","cap","cap @ x con","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6666,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","01/04/10 00:00:00","01/04/10 00:00:00",,885,,,,,,,,
6667,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6668,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","01/04/10 00:00:00","01/04/10 00:00:00",,879,,,,,,,,
6669,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6670,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","01/04/10 00:00:00","01/04/10 00:00:00",,855,,,,,,,,
6671,"R17","Deer Valley WTP treated water","srp","deer valley-treated","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6672,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6673,"R19","Val Vista WTP treated water","srp","val vista-treated","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6674,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","01/04/10 00:00:00","01/04/10 00:00:00",,804,,,,,,,,
6675,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6676,"R25","verde river at beeline highway","verde","verde @ beeline","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6677,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","01/04/10 00:00:00","01/04/10 00:00:00",,893,,,,,,,,
6678,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","01/04/10 00:00:00","01/04/10 00:00:00",,895,,,,,,,,
6679,"UH In","Union Hills Inlet","cap","Union Hills Inlet","01/04/10 00:00:00","01/04/10 00:00:00",,948,,,,,,,,
6680,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6681,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","01/04/10 00:00:00","01/04/10 00:00:00",,846,,,,,,,,
6682,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6683,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6684,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6685,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6686,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6687,"Green In","Greenway WTP Inlet","srp","Green In","01/04/10 00:00:00","01/04/10 00:00:00",,908,,,,,,,,
6688,"Green Out","Greenway WTP Outlet","srp","Green Out","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6689,"Glendale In","Glendale WTP Inlet","srp","Glen In","01/04/10 00:00:00","01/04/10 00:00:00",,808,,,,,,,,
6690,"Glendale Out","Glendale WTP Outlet","srp","Glen Out","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6691,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","01/04/10 00:00:00","01/04/10 00:00:00",,979,,,,,,,,
6692,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","01/04/10 00:00:00","01/04/10 00:00:00",,983,,,,,,,,
6693,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","01/04/10 00:00:00","01/04/10 00:00:00",,536,,,,,,,,
6694,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","01/04/10 00:00:00","01/04/10 00:00:00",,541,,,,,,,,
6695,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","01/04/10 00:00:00","01/04/10 00:00:00",,1011,,,,,,,,
6696,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","01/04/10 00:00:00","01/04/10 00:00:00",,1006,,,,,,,,
6697,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","01/04/10 00:00:00","01/04/10 00:00:00",,1029,,,,,,,,
6698,"R20","Verde River at Tangle","verde","verde abv horseshoe","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6699,"Havasu 1","Havasu lake Sample",,"Havasu 1","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6700,"Havasu 2","Havasu lake Sample",,"Havasu 2","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6701,"Roosvelt","SRP above Roosevelt Lake",,"Above Roosevelt","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6702,"R1","CAP canal above Waddell Canal","cap","cap-siphon","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6703,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6704,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6705,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6706,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6707,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6708,"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6709,"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","01/04/10 00:00:00","01/04/10 00:00:00",,,,,,,,,,
6710,"R3","Waddell Canal","cap","waddell canal","02/01/10 00:00:00","02/01/10 00:00:00",,951,,,,,,,,
6711,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","02/01/10 00:00:00","02/01/10 00:00:00",,932,,,,,,,,
6712,"R11","CAP Canal at Cross-connect","cap","cap @ x con","02/01/10 00:00:00","02/01/10 00:00:00",,,,,,,,,,
6713,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","02/01/10 00:00:00","02/01/10 00:00:00",,892,,,,,,,,
6714,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","02/01/10 00:00:00","02/01/10 00:00:00",,828,,,,,,,,
6715,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","02/01/10 00:00:00","02/01/10 00:00:00",,752,,,,,,,,
6716,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","02/01/10 00:00:00","02/01/10 00:00:00",,,,,,,,,,
6717,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","02/01/10 00:00:00","02/01/10 00:00:00",,824,,,,,,,,
6718,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","02/01/10 00:00:00","02/01/10 00:00:00",,804,,,,,,,,
6719,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","02/01/10 00:00:00","02/01/10 00:00:00",,821,,,,,,,,
6720,"R25","verde river at beeline highway","verde","verde @ beeline","02/01/10 00:00:00","02/01/10 00:00:00",,486,,,,,,,,
6721,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","02/01/10 00:00:00","02/01/10 00:00:00",,828,,,,,,,,
6722,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","02/01/10 00:00:00","02/01/10 00:00:00",,812,,,,,,,,
6723,"UH In","Union Hills Inlet","cap","Union Hills Inlet","02/01/10 00:00:00","02/01/10 00:00:00",,,,,,,,,,
6724,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","02/01/10 00:00:00","02/01/10 00:00:00",,,,,,,,,,
6725,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","02/01/10 00:00:00","02/01/10 00:00:00",,852,,,,,,,,
6726,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","02/01/10 00:00:00","02/01/10 00:00:00",,858,,,,,,,,
6727,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","02/01/10 00:00:00","02/01/10 00:00:00",,810,,,,,,,,
6728,"Green In","Greenway WTP Inlet","srp","Green In","02/01/10 00:00:00","02/01/10 00:00:00",,,,,,,,,,
6729,"Glendale In","Glendale WTP Inlet","srp","Glen In","02/01/10 00:00:00","02/01/10 00:00:00",,890,,,,,,,,
6730,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","02/01/10 00:00:00","02/01/10 00:00:00",,,,,,,,,,
6731,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","02/01/10 00:00:00","02/01/10 00:00:00",,,,,,,,,,
6732,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","02/01/10 00:00:00","02/01/10 00:00:00",,428,,,,,,,,
6733,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","02/01/10 00:00:00","02/01/10 00:00:00",,422,,,,,,,,
6734,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","02/01/10 00:00:00","02/01/10 00:00:00",,978,,,,,,,,
6735,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","02/01/10 00:00:00","02/01/10 00:00:00",,979,,,,,,,,
6736,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","02/01/10 00:00:00","02/01/10 00:00:00",,898,,,,,,,,
6737,"R20","Verde River at Tangle","verde","verde abv horseshoe","02/01/10 00:00:00","02/01/10 00:00:00",,,,,,,,,,
6738,"Havasu 1","Havasu lake Sample",,"Havasu 1","02/01/10 00:00:00","02/01/10 00:00:00",,,,,,,,,,
6739,"R3","Waddell Canal","cap","waddell canal","03/01/10 00:00:00","03/01/10 00:00:00",,565,,,,,,,,
6740,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","03/01/10 00:00:00","03/01/10 00:00:00",,775,,,,,,,,
6741,"R11","CAP Canal at Cross-connect","cap","cap @ x con","03/01/10 00:00:00","03/01/10 00:00:00",,,,,,,,,,
6742,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","03/01/10 00:00:00","03/01/10 00:00:00",,651,,,,,,,,
6743,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","03/01/10 00:00:00","03/01/10 00:00:00",,628,,,,,,,,
6744,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","03/01/10 00:00:00","03/01/10 00:00:00",,640,,,,,,,,
6745,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","03/01/10 00:00:00","03/01/10 00:00:00",,633,,,,,,,,
6746,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","03/01/10 00:00:00","03/01/10 00:00:00",,463,,,,,,,,
6747,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","03/01/10 00:00:00","03/01/10 00:00:00",,656,,,,,,,,
6748,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","03/01/10 00:00:00","03/01/10 00:00:00",,580,,,,,,,,
6749,"R25","verde river at beeline highway","verde","verde @ beeline","03/01/10 00:00:00","03/01/10 00:00:00",,405,,,,,,,,
6750,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","03/01/10 00:00:00","03/01/10 00:00:00",,368,,,,,,,,
6751,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","03/01/10 00:00:00","03/01/10 00:00:00",,610,,,,,,,,
6752,"UH In","Union Hills Inlet","cap","Union Hills Inlet","03/01/10 00:00:00","03/01/10 00:00:00",,876,,,,,,,,
6753,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","03/01/10 00:00:00","03/01/10 00:00:00",,,,,,,,,,
6754,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","03/01/10 00:00:00","03/01/10 00:00:00",,954,,,,,,,,
6755,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","03/01/10 00:00:00","03/01/10 00:00:00",,715,,,,,,,,
6756,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","03/01/10 00:00:00","03/01/10 00:00:00",,692,,,,,,,,
6757,"Green In","Greenway WTP Inlet","srp","Green In","03/01/10 00:00:00","03/01/10 00:00:00",,,,,,,,,,
6758,"Glendale In","Glendale WTP Inlet","srp","Glen In","03/01/10 00:00:00","03/01/10 00:00:00",,663,,,,,,,,
6759,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","03/01/10 00:00:00","03/01/10 00:00:00",,975,,,,,,,,
6760,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","03/01/10 00:00:00","03/01/10 00:00:00",,927,,,,,,,,
6761,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","03/01/10 00:00:00","03/01/10 00:00:00",,412,,,,,,,,
6762,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","03/01/10 00:00:00","03/01/10 00:00:00",,342,,,,,,,,
6763,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","03/01/10 00:00:00","03/01/10 00:00:00",,779,,,,,,,,
6764,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","03/01/10 00:00:00","03/01/10 00:00:00",,779,,,,,,,,
6765,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","03/01/10 00:00:00","03/01/10 00:00:00",,385,,,,,,,,
6766,"R20","Verde River at Tangle","verde","verde abv horseshoe","03/01/10 00:00:00","03/01/10 00:00:00",,269,,,,,,,,
6767,"Havasu 1","Havasu lake Sample",,"Havasu 1","03/01/10 00:00:00","03/01/10 00:00:00",,819,,,,,,,,
6768,"R3","Waddell Canal","cap","waddell canal","04/05/10 00:00:00","04/05/10 00:00:00",,947,,,,,,,,
6769,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","04/05/10 00:00:00","04/05/10 00:00:00",,966,,,,,,,,
6770,"R11","CAP Canal at Cross-connect","cap","cap @ x con","04/05/10 00:00:00","04/05/10 00:00:00",,,,,,,,,,
6771,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","04/05/10 00:00:00","04/05/10 00:00:00",,686,,,,,,,,
6772,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","04/05/10 00:00:00","04/05/10 00:00:00",,686,,,,,,,,
6773,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","04/05/10 00:00:00","04/05/10 00:00:00",,651,,,,,,,,
6774,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","04/05/10 00:00:00","04/05/10 00:00:00",,654,,,,,,,,
6775,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","04/05/10 00:00:00","04/05/10 00:00:00",,738,,,,,,,,
6776,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","04/05/10 00:00:00","04/05/10 00:00:00",,656,,,,,,,,
6777,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","04/05/10 00:00:00","04/05/10 00:00:00",,674,,,,,,,,
6778,"R25","verde river at beeline highway","verde","verde @ beeline","04/05/10 00:00:00","04/05/10 00:00:00",,325,,,,,,,,
6779,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","04/05/10 00:00:00","04/05/10 00:00:00",,671,,,,,,,,
6780,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","04/05/10 00:00:00","04/05/10 00:00:00",,680,,,,,,,,
6781,"UH In","Union Hills Inlet","cap","Union Hills Inlet","04/05/10 00:00:00","04/05/10 00:00:00",,961,,,,,,,,
6782,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","04/05/10 00:00:00","04/05/10 00:00:00",,,,,,,,,,
6783,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","04/05/10 00:00:00","04/05/10 00:00:00",,741,,,,,,,,
6784,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","04/05/10 00:00:00","04/05/10 00:00:00",,716,,,,,,,,
6785,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","04/05/10 00:00:00","04/05/10 00:00:00",,721,,,,,,,,
6786,"Green In","Greenway WTP Inlet","srp","Green In","04/05/10 00:00:00","04/05/10 00:00:00",,659,,,,,,,,
6787,"Glendale In","Glendale WTP Inlet","srp","Glen In","04/05/10 00:00:00","04/05/10 00:00:00",,659,,,,,,,,
6788,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","04/05/10 00:00:00","04/05/10 00:00:00",,919,,,,,,,,
6789,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","04/05/10 00:00:00","04/05/10 00:00:00",,932,,,,,,,,
6790,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","04/05/10 00:00:00","04/05/10 00:00:00",,290,,,,,,,,
6791,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","04/05/10 00:00:00","04/05/10 00:00:00",,291,,,,,,,,
6792,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","04/05/10 00:00:00","04/05/10 00:00:00",,996,,,,,,,,
6793,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","04/05/10 00:00:00","04/05/10 00:00:00",,998,,,,,,,,
6794,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","04/05/10 00:00:00","04/05/10 00:00:00",,998,,,,,,,,
6795,"R20","Verde River at Tangle","verde","verde abv horseshoe","04/05/10 00:00:00","04/05/10 00:00:00",,,,,,,,,,
6796,"Havasu 1","Havasu lake Sample",,"Havasu 1","04/05/10 00:00:00","04/05/10 00:00:00",,975,,,,,,,,
6797,"R3","Waddell Canal","cap","waddell canal","05/03/10 00:00:00","05/03/10 00:00:00",,992,,,,,,,,
6798,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","05/03/10 00:00:00","05/03/10 00:00:00",,1006,,,,,,,,
6799,"R11","CAP Canal at Cross-connect","cap","cap @ x con","05/03/10 00:00:00","05/03/10 00:00:00",,,,,,,,,,
6800,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","05/03/10 00:00:00","05/03/10 00:00:00",,947,,,,,,,,
6801,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","05/03/10 00:00:00","05/03/10 00:00:00",,942,,,,,,,,
6802,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","05/03/10 00:00:00","05/03/10 00:00:00",,948,,,,,,,,
6803,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","05/03/10 00:00:00","05/03/10 00:00:00",,938,,,,,,,,
6804,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","05/03/10 00:00:00","05/03/10 00:00:00",,962,,,,,,,,
6805,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","05/03/10 00:00:00","05/03/10 00:00:00",,947,,,,,,,,
6806,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","05/03/10 00:00:00","05/03/10 00:00:00",,949,,,,,,,,
6807,"R25","verde river at beeline highway","verde","verde @ beeline","05/03/10 00:00:00","05/03/10 00:00:00",,,,,,,,,,
6808,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","05/03/10 00:00:00","05/03/10 00:00:00",,938,,,,,,,,
6809,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","05/03/10 00:00:00","05/03/10 00:00:00",,943,,,,,,,,
6810,"UH In","Union Hills Inlet","cap","Union Hills Inlet","05/03/10 00:00:00","05/03/10 00:00:00",,1001,,,,,,,,
6811,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","05/03/10 00:00:00","05/03/10 00:00:00",,948,,,,,,,,
6812,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","05/03/10 00:00:00","05/03/10 00:00:00",,,,,,,,,,
6813,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","05/03/10 00:00:00","05/03/10 00:00:00",,947,,,,,,,,
