ID,site number,site location,cluster name,site acronym,date,month,depth (m),T (C),DO (mg/l),pH,"Secchi Disk, m",samples collected,sample type,comments
6779,SPT Out,Tempe's South Plant treated water,tempe,STP Out,12/6/2005,12/6/2005,,,,,,,,
6780,Green In,Greenway WTP Inlet,srp,Green In,12/6/2005,12/6/2005,,12.7,,8.5,,,,
6781,Green Out,Greenway WTP Outlet,srp,Green Out,12/6/2005,12/6/2005,,,,,,,,
6782,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,1.2,15.2,8.6,,,,,
6783,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,3.4,15.1,8.6,,,,,
6784,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,5.4,15.1,8.6,,,,,
6785,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,7.4,15.1,8.6,,,,,
6786,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,9.4,15.1,8.7,,,,,
6787,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,11.6,15.1,8.6,,,,,
6788,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,13.7,15.1,8.6,,,,,
6789,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,15.9,15,8.6,,,,,
6790,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,18.3,15.1,8.6,,,,,
6791,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,20.3,15,8.6,,,,,
6792,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,22.2,15,8.6,,,,,
6793,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,24,15,8.6,,,,,
6794,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,26.2,15,8.7,,,,,
6795,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,28.7,15,8.7,,,,,
6796,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,31,15,8.6,,,,,
6797,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,33.1,15,8.7,,,,,
6798,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,35.4,15,8.7,,,,,
6799,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,37.9,15,8.7,,,,,
6800,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,40.2,15,8.7,,,,,
6801,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12/6/2005,42.6,15,8.7,,,,,
6636,R4,Cap Canal at 7th St.,cap,cap @ 7th st,10/11/2005,10/11/2005,,,,,,,,
6637,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,10/11/2005,10/11/2005,,,,,,,,
6638,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,10/11/2005,10/11/2005,,,,,,,,
6639,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,10/11/2005,10/11/2005,,,,,,,,
6640,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,10/11/2005,10/11/2005,,,,,,,,
6641,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,10/11/2005,10/11/2005,,,,,,,,
6642,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,10/11/2005,10/11/2005,,,,,,,,
6643,R3,Waddell Canal,cap,waddell canal,10/25/2005,10/25/2005,,23.8,,8,,,,
6644,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,10/25/2005,10/25/2005,,22.9,,8.5,,,,
6645,R11,CAP Canal at Cross-connect,cap,cap @ x con,10/25/2005,10/25/2005,,22,,8.3,,,,
6646,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/25/2005,10/25/2005,,21.5,,8.2,,,,
6647,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/25/2005,10/25/2005,,,,,,,,
6648,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,10/25/2005,10/25/2005,,21.2,,8.2,,,,
6649,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,10/25/2005,10/25/2005,,,,,,,,
6650,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,10/25/2005,10/25/2005,,21.5,,8.4,,,,
6651,R17,Deer Valley WTP treated water,srp,deer valley-treated,10/25/2005,10/25/2005,,,,,,,,
6652,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,10/25/2005,10/25/2005,,22.3,,8,,,,
6653,R19,Val Vista WTP treated water,srp,val vista-treated,10/25/2005,10/25/2005,,,,,,,,
6654,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,10/25/2005,10/25/2005,,21.7,,8.3,,,,
6655,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,10/25/2005,10/25/2005,,20.4,,8,,,,
6656,R25,verde river at beeline highway,verde,verde @ beeline,10/25/2005,10/25/2005,,23.6,,8.4,,,,
6657,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,10/25/2005,10/25/2005,,21.8,,8.3,,,,
6658,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,10/25/2005,10/25/2005,,20.5,,8.1,,,,
6659,UH In,Union Hills Inlet,cap,Union Hills Inlet,10/25/2005,10/25/2005,,22.2,,8.3,,,,
6660,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,10/25/2005,10/25/2005,,,,,,,,
6661,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,10/25/2005,10/25/2005,,22.9,,8.4,,,,
6662,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,10/25/2005,10/25/2005,,,,,,,,
6830,Havasu 1,Havasu lake Sample,,Havasu 1,12/6/2005,12/6/2005,,,,,,,,
6831,Havasu 2,Havasu lake Sample,,Havasu 2,12/6/2005,12/6/2005,,,,,,,,
6832,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,12/6/2005,12/6/2005,,,,,,,,
6833,R1,CAP canal above Waddell Canal,cap,cap-siphon,12/6/2005,12/6/2005,,,,,,,,
6834,R4,Cap Canal at 7th St.,cap,cap @ 7th st,12/6/2005,12/6/2005,,,,,,,,
6835,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,12/6/2005,12/6/2005,,,,,,,,
6836,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,12/6/2005,12/6/2005,,,,,,,,
6837,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,12/6/2005,12/6/2005,,,,,,,,
6838,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,12/6/2005,12/6/2005,,,,,,,,
6839,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,12/6/2005,12/6/2005,,,,,,,,
6840,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,12/6/2005,12/6/2005,,,,,,,,
1,R1,CAP canal above Waddell Canal,cap,cap-siphon,8/18/1999,8/1/1999,0,31.1,,,,"NUT, DOCM, MIB/GEO, PHYT",,
2,R2A,Lake Pleasant integrated sample,cap,pleasant-0m,8/18/1999,8/1/1999,0,28.6,6.8,,,,,
3,R2-5,Lake Pleasant integrated sample,cap,pleasant-5m,8/18/1999,8/1/1999,5,27.9,,,,"NUT, DOCM, MIB/GEO, PHYT",,
4,R2-10,Lake Pleasant integrated sample,cap,pleasant-10m,8/18/1999,8/1/1999,10,27.8,,,,,,
5,R2-15,Lake Pleasant integrated sample,cap,pleasant-15m,8/18/1999,8/1/1999,15,20.2,,,,"NUT, DOCM, MIB/GEO, PHYT",,
6,R2-20,Lake Pleasant integrated sample,cap,pleasant-20m,8/18/1999,8/1/1999,20,17.5,,,,,,
7,R2-25,Lake Pleasant integrated sample,cap,pleasant-25m,8/18/1999,8/1/1999,25,15.9,,,,,,
8,R2-30,Lake Pleasant integrated sample,cap,pleasant-30m,8/18/1999,8/1/1999,30,15.3,,,,"NUT, DOCM, MIB/GEO, PHYT",,
9,R2-35,Lake Pleasant integrated sample,cap,pleasant-35m,8/18/1999,8/1/1999,35,14.6,,,,,,
10,R2-40,Lake Pleasant integrated sample,cap,pleasant-40m,8/18/1999,8/1/1999,40,14.4,,,,"NUT, DOCM, MIB/GEO, PHYT",,
11,R2-45,Lake Pleasant integrated sample,cap,pleasant-45m,8/18/1999,8/1/1999,45,14.6,,,,,,
12,R2-50,Lake Pleasant integrated sample,cap,pleasant-50m,8/18/1999,8/1/1999,50,14.6,,,,,,
13,R3,Waddell Canal,cap,waddell canal,8/18/1999,8/1/1999,0,15.9,,,,"NUT, DOCM, MIB/GEO, PHYT",,
14,R4,Cap Canal at 7th St.,cap,cap @ 7th st,8/18/1999,8/1/1999,0,18.1,,,,"NUT, DOCM, MIB/GEO, PHYT",,
15,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,8/16/1999,8/1/1999,0,,,,,"NUT, DOCM, MIB/GEO, PHYT",,
16,R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,8/16/1999,8/1/1999,0,28.7,7.8,,,,,
17,R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,8/16/1999,8/1/1999,5,28.1,8.82,,,"NUT, DOCM, MIB/GEO, PHYT",,
18,R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,8/16/1999,8/1/1999,10,27.6,6.2,,,,,
19,R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,8/16/1999,8/1/1999,15,21.5,0.3,,,"NUT, DOCM, MIB/GEO, PHYT",,
20,R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,8/16/1999,8/1/1999,20,18.5,,,,,,
21,R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,8/16/1999,8/1/1999,25,16.8,,,,,,
22,R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,8/16/1999,8/1/1999,30,15.9,0.27,,,"NUT, DOCM, MIB/GEO, PHYT",,
23,R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,8/16/1999,8/1/1999,35,15.8,,,,,,
24,R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,8/16/1999,8/1/1999,40,15.9,,,,"NUT, DOCM, MIB/GEO, PHYT",,
