ID,Miles from Granite Reef Dam,mi from 24th st,site number,Location,Date,MIB (ng/L),Chlor-A, ug/cm2,Total Nitrogen,Dissolved Nitrogen,Total Phosphate,Dissolved Phosphate,Geosmin (ng/L)
265,,,"R4","CAP at 7th ST","08/01/01 00:00:00",2.1,,,,,,2.5
266,,,"R18","South Canal at Val Vista WTP","08/01/01 00:00:00",0,,,,,,0
267,,,"R19","Val Vista WTP treated water","08/01/01 00:00:00",7.8,,,,,,3.6
268,,,"R10","Salt River below Saguaro Lake","08/01/01 00:00:00",,,,,,,
269,,,"R11","CAP Canal at cross-connect","08/01/01 00:00:00",0,,,,,,2
270,0,,"R12","AZ Canal above CAP cross-connect","08/01/01 00:00:00",9.699999999999999,,,,,,3.6
271,0.5,,"R13","AZ Canal below CAP cross-connect","08/01/01 00:00:00",8.199999999999999,,,,,,3.9
272,4,,"Hwy 87","AZ Canal at Highway 87","08/01/01 00:00:00",,,,,,,
273,1.2,,"B1","B1","08/01/01 00:00:00",,,,,,,
274,2.4,,"B2","B2","08/01/01 00:00:00",,,,,,,
275,5.2,,"B3","B3","08/01/01 00:00:00",,,,,,,
276,6.4,,"B4","B4","08/01/01 00:00:00",,,,,,,
277,8.460000000000001,,"Mesa","AZ Canal at Mesa Dr.","08/01/01 00:00:00",,,,,,,
278,12.94,,"Pima","AZ Canal at Pima Rd.","08/01/01 00:00:00",,,,,,,
279,16.88,,"Scotts","AZ Canal at Scottsdale Rd.","08/01/01 00:00:00",,,,,,,
280,18.7,,"R22","AZ Canal - 56th St. (Alma School Road)","08/01/01 00:00:00",,,,,,,
281,21.11,,"44th St.","AZ Canal at 44th Street","08/01/01 00:00:00",,,,,,,
282,,,"32nd St.","AZ Canal at 32nd Street","08/01/01 00:00:00",,,,,,,
283,24.06,0,"24th St.","24th St.","08/01/01 00:00:00",25.1,,,,,,11.4
284,,,"R14","AZ Canal - Inlet to Squaw Peak WTP","08/01/01 00:00:00",25.1,,,,,,11.4
285,,,"R15","Squaw Peak WTP treated water","08/01/01 00:00:00",22.3,,,,,,9.9
286,25.76,1.7,"16th St.","AZ Canal at 16th Street","08/01/01 00:00:00",,,,,,,
287,27.06,3,"Northern","AZ Canal at Northern Avenue","08/01/01 00:00:00",,,,,,,
288,28.16,4.1,"R21","AZ Canal at Central Av.","08/01/01 00:00:00",,,,,,,
289,29.66,5.6,"19th Av.","AZ Canal at 19th Av.","08/01/01 00:00:00",,,,,,,
290,,,"25th Av.","25th Av.","08/01/01 00:00:00",,,,,,,
291,31,7,"29th Av.","29th Av.","08/01/01 00:00:00",28.8,,,,,,11.2
292,,,"R16","AZ Canal - Inlet to Deer Valley WTP","08/01/01 00:00:00",28.8,,,,,,11.2
293,,,"R17","Deer Valley WTP treated water","08/01/01 00:00:00",17.3,,,,,,4.1
294,34.66,10.5,"51st Av.","51st Av.","08/01/01 00:00:00",,,,,,,
295,37,13.2,"67th Av.","67th Av.","08/01/01 00:00:00",,,,,,,
296,,,"Little Harq p.p.","Little Harq p.p.","08/01/01 00:00:00",,,,,,,
297,,,"Havasu p.p.","Havasu p.p.","08/01/01 00:00:00",,,,,,,
298,,,"R4","CAP at 7th ST","08/03/01 00:00:00",,,,,,,
299,,,"R18","South Canal at Val Vista WTP","08/03/01 00:00:00",,,,,,,
300,,,"R19","Val Vista WTP treated water","08/03/01 00:00:00",,,,,,,
301,,,"R10","Salt River below Saguaro Lake","08/03/01 00:00:00",,,,,,,
302,,,"R11","CAP Canal at cross-connect","08/03/01 00:00:00",,,,,,,
303,0,,"R12","AZ Canal above CAP cross-connect","08/03/01 00:00:00",,,,,,,
304,0.5,,"R13","AZ Canal below CAP cross-connect","08/03/01 00:00:00",,,,,,,
305,4,,"Hwy 87","AZ Canal at Highway 87","08/03/01 00:00:00",,,,,,,
306,1.2,,"B1","B1","08/03/01 00:00:00",,,,,,,
307,2.4,,"B2","B2","08/03/01 00:00:00",,,,,,,
308,5.2,,"B3","B3","08/03/01 00:00:00",,,,,,,
309,6.4,,"B4","B4","08/03/01 00:00:00",,,,,,,
