ID,Site Number,Site Location,Cluster Name,Site Acronym,Date,E coli(colonies per 100mL),Coliform(colonies per 100mL),Mycobacterium(colonies per 100mL),Comments,F11,F12,F13,F14,F15,F16
1075,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","9/25/2018","23","960","2",,,,,,,
1076,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","9/25/2018","34","1216","5",,,,,,,
1077,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","9/25/2018","8","1192","6",,,,,,,
1078,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","9/25/2018","37","1128","6",,,,,,,
1079,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","10/22/2018","29","472","2","Counted Mycobacterium samples after 2 week incubation ",,,,,,
1080,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","10/22/2018","57","752",,,,,,,,
1081,"R11","CAP Canal at Cross-connect","cap","cap @ x con","10/22/2018","43","360","2",,,,,,,
1082,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","10/22/2018","21","488","17",,,,,,,
1083,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","10/22/2018","56","520","20",,,,,,,
1084,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","10/22/2018","10","624","13",,,,,,,
1085,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","10/22/2018","40","432","0",,,,,,,
1086,"R3","Waddell Canal","cap","waddell canal","10/22/2018","4","616","0",,,,,,,
1087,"R25","verde river at beeline highway","verde","verde @ beeline","10/22/2018","75","736",,,,,,,,
1088,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","10/22/2018","29","288","1",,,,,,,
1089,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","10/22/2018","100","416","35",,,,,,,
1090,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","10/22/2018","27","648","28",,,,,,,
1091,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","10/22/2018","86","432","75",,,,,,,
1092,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","11/21/2018","19","616","5","Counted Mycobacterium samples after 2 week incubation ",,,,,,
1093,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","11/21/2018",,,,,,,,,,
1094,"R11","CAP Canal at Cross-connect","cap","cap @ x con","11/21/2018","26","920","0",,,,,,,
1095,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","11/21/2018","6","744","1",,,,,,,
1096,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","11/21/2018","20","688","6",,,,,,,
1097,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","11/21/2018","13","640","4",,,,,,,
1098,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","11/21/2018","33","1112","0",,,,,,,
1099,"R3","Waddell Canal","cap","waddell canal","11/21/2018","8","840","1",,,,,,,
1100,"R25","verde river at beeline highway","verde","verde @ beeline","11/21/2018","16","648","8",,,,,,,
1101,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","11/21/2018","24","944","1",,,,,,,
1102,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","11/21/2018",,,,,,,,,,
1103,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","11/21/2018",,,,,,,,,,
1104,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","11/21/2018",,,,,,,,,,
1105,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","12/5/2018","6","640",,"Counted Mycobacterium samples after 2 week incubation ",,,,,,
1106,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","12/5/2018",,,"32",,,,,,,
384,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","6/2/2014","17","574",,"TFTC = Too Few to Count",,,,,,
1107,"R11","CAP Canal at Cross-connect","cap","cap @ x con","12/5/2018","21","1096",,,,,,,,
1108,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","12/5/2018","20","712",,,,,,,,
1109,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","12/5/2018","23","496",,,,,,,,
1110,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","12/5/2018","2","360",,,,,,,,
1111,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","12/5/2018","22","984",,,,,,,,
1112,"R3","Waddell Canal","cap","waddell canal","12/5/2018","2","1176","8",,,,,,,
1113,"R25","verde river at beeline highway","verde","verde @ beeline","12/5/2018","51","800","18",,,,,,,
1114,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","12/5/2018","11","1152",,,,,,,,
1115,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","12/5/2018",,,"1",,,,,,,
1116,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","12/5/2018",,,"14",,,,,,,
1117,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","12/5/2018",,,"37",,,,,,,
1118,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","1/22/2019",,,,"Counted Mycobacterium samples after 2 week incubation ",,,,,,
1119,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","1/22/2019","32","364","114",,,,,,,
1120,"R11","CAP Canal at Cross-connect","cap","cap @ x con","1/22/2019",,,"25",,,,,,,
1121,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","1/22/2019","132",,,,,,,,,
1122,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","1/22/2019","212","1008","49",,,,,,,
1123,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","1/22/2019",,,"80",,,,,,,
1124,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1/22/2019",,,"56",,,,,,,
1125,"R3","Waddell Canal","cap","waddell canal","1/22/2019","10","720",,,,,,,,
1126,"R25","verde river at beeline highway","verde","verde @ beeline","1/22/2019","168","124","408",,,,,,,
1127,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1/22/2019",,,"96",,,,,,,
1128,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","1/22/2019","152","196","5",,,,,,,
1129,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","1/22/2019",,,"42",,,,,,,
1130,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","1/22/2019","136","406",,,,,,,,
1131,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2/25/2019","64","284",,"Counted Mycobacterium samples after 2 week incubation ",,,,,,
1132,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2/25/2019","88","309",,,,,,,,
1133,"R11","CAP Canal at Cross-connect","cap","cap @ x con","2/25/2019","6","196",,,,,,,,
1134,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2/25/2019","56","104","144",,,,,,,
1135,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2/25/2019","80","350","104",,,,,,,
1136,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2/25/2019",,,,,,,,,,
1137,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2/25/2019","11","296",,,,,,,,
390,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","6/2/2014","45","552",,,,,,,,
391,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","6/2/2014","29","378",,,,,,,,
392,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","7/7/2014","18","496",,"All samples incubated at 32 Celsius for 24 hours, highlighted cells counted quarter of plates and multiplied by 4",,,,,,
393,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","7/7/2014","28","456",,,,,,,,
394,"R11","CAP Canal at Cross-connect","cap","cap @ x con","7/7/2014","50","548",,,,,,,,
395,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","7/7/2014","20","390",,,,,,,,
396,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","7/7/2014","52","440",,,,,,,,
397,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","7/7/2014","16","330",,,,,,,,
398,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","7/7/2014","34","462",,,,,,,,
399,"R3","Waddell Canal","cap","waddell canal","7/7/2014","0","23",,,,,,,,
400,"R25","verde river at beeline highway","verde","verde @ beeline","7/7/2014","158","548",,,,,,,,
