ID,site number,site location,cluster name,site acronym,date,month,sample type,TOC (mg/L),DOC (mg/L),UVA (cm-1),suva (L/mg-m),Field1,peak int,peak int WL,int at 450,int at 460,int at 500,FI (450/500),docm comments
10488,R9A-DUP,Saguaro Lake near inlet,salt,saguaro-epi dup,11/6/2017,11/6/2017,,,4.308,0.088,2.042711235,,,,,,,,
10489,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,11/6/2017,11/6/2017,,,4.748,0.087,1.832350463,,,,,,,,
10490,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,11/6/2017,11/6/2017,,,3.024,0.067,2.215608466,,,,,,,,
10491,SRNR,Salt River near Roosevelt,salt,SRNR,11/6/2017,11/6/2017,,,,,,,,,,,,,
10492,UH IN,Union Hills Inlet,cap,Union Hills Inlet,11/6/2017,11/6/2017,,,3.518,0.045,1.279135873,,,,,,,,
10493,UH OUT,Union Hills Treated Water,cap,Union Hills Outlet,11/6/2017,11/6/2017,,,2.061,0.025,1.213003396,,,,,,,,
10494,NP IN,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,11/6/2017,11/6/2017,,,3.295,0.097,2.943854325,,,,,,,,
10495,NP OUT,Tempe's North Plant treated water,tempe,north plant outlet,11/6/2017,11/6/2017,,,2.298,0.036,1.566579634,,,,,,,,
10496,SPT IN,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,11/6/2017,11/6/2017,,,,,,,,,,,,,
10497,SPT OUT,Tempe's South Plant treated water,tempe,STP Out,11/6/2017,11/6/2017,,,,,,,,,,,,,
10498,GR IN,Greenway WTP Inlet,srp,Green In,11/6/2017,11/6/2017,,,3.497,0.109,3.116957392,,,,,,,,
10499,GR OUT,Greenway WTP Outlet,srp,Green Out,11/6/2017,11/6/2017,,,2.479,0.038,1.53287616,,,,,,,,
10500,GL IN,Glendale WTP Inlet,,Glen In,11/6/2017,11/6/2017,,,3.31,0.092,2.779456193,,,,,,,,
10501,GL OUT,Glendale WTP Outlet,,Glen Out,11/6/2017,11/6/2017,,,1.724,0.031,1.798143852,,,,,,,,
10502,AN IN,Anthem WTP inlet,,anthem,11/6/2017,11/6/2017,,,2.645,0.04,1.512287335,,,,,,,,
10503,AN OUT,Anthem WTP outlet,,anthem,11/6/2017,11/6/2017,,,2.289,0.039,1.703800786,,,,,,,,
10504,R14,AZ Canal - Inlet to 24th St WTP,srp,az canal @ 24th St,11/6/2017,11/6/2017,,,3.347,0.092,2.748730206,,,,,,,,
10505,R15,24th St WTP treated water,srp,24th St -treated,11/6/2017,11/6/2017,,,,,,,,,,,,,
10506,CH IN,Chandler WTP inlet,,chandler,11/6/2017,11/6/2017,,,3.435,0.104,3.027656477,,,,,,,,
10507,CH OUT,Chandler WTP outlet,,chandler,11/6/2017,11/6/2017,,,2.799,0.045,1.607717042,,,,,,,,
10508,R3,Waddell Canal,cap,waddell canal,11/6/2017,11/6/2017,,,2.48,0.042,1.693548387,,,,,,,,
10509,AN IN,Anthem WTP inlet,,anthem,11/6/2017,11/6/2017,,,2.645,0.04,1.512287335,,,,,,,,
10510,UH IN,Union Hills Inlet,cap,Union Hills Inlet,11/6/2017,11/6/2017,,,3.518,0.045,1.279135873,,,,,,,,
10511,SGPS,Salt Gila,,Salt Gila,11/6/2017,11/6/2017,,,2.552,0.043,1.684952978,,,,,,,,
10512,MTO,Mesa Turnout,,Mesa Turnout,11/6/2017,11/6/2017,,,2.618,0.043,1.642475172,,,,,,,,
10513,R11,CAP Canal at Cross-connect,cap,cap @ x con,11/6/2017,11/6/2017,,,2.639,0.046,1.743084502,,,,,,,,
10514,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,11/6/2017,11/6/2017,,,3.024,0.067,2.215608466,,,,,,,,
10515,R25,verde river at beeline highway,verde,verde @ beeline,11/6/2017,11/6/2017,,,3.654,0.102,2.791461412,,,,,,,,
10516,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/6/2017,11/6/2017,,,2.639,0.048,1.818870784,,,,,,,,
10517,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/6/2017,11/6/2017,,,3.003,0.072,2.397602398,,,,,,,,
10518,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,11/6/2017,11/6/2017,,,3.574,0.092,2.574146614,,,,,,,,
10519,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,11/6/2017,11/6/2017,,,3.345,0.092,2.750373692,,,,,,,,
10520,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,11/6/2017,11/6/2017,,,3.523,0.091,2.58302583,,,,,,,,
10521,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,11/6/2017,11/6/2017,,,3.23,0.091,2.817337461,,,,,,,,
10522,GL IN,Glendale WTP Inlet,,Glen In,11/6/2017,11/6/2017,,,3.31,0.092,2.779456193,,,,,,,,
10523,GR IN,Greenway WTP Inlet,srp,Green In,11/6/2017,11/6/2017,,,3.497,0.109,3.116957392,,,,,,,,
10524,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,11/6/2017,11/6/2017,,,3.857,0.106,2.748249935,,,,,,,,
10525,HTC,Head of the Tempe Canal,tempe,head of tempe canal,11/6/2017,11/6/2017,,,3.64,0.104,2.857142857,,,,,,,,
10526,SPT IN,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,11/6/2017,11/6/2017,,,,,,,,,,,,,
10527,HOC,Head of the Consolidated Canal,az canal,,11/6/2017,11/6/2017,,,3.525,0.105,2.978723404,,,,,,,,
10528,MOC,Middle of the Consolidated canal,az canal,,11/6/2017,11/6/2017,,,3.806,0.105,2.758801892,,,,,,,,
10529,CH IN,Chandler WTP inlet,,chandler,11/6/2017,11/6/2017,,,3.435,0.104,3.027656477,,,,,,,,
10530,HAV,Havasu lake Sample,,Havasu,12/4/2017,12/4/2017,,,,0.044,,,,,,,,,
10531,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,12/4/2017,12/4/2017,,,3.359,0.058,1.726704376,,,,,,,,
10532,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,12/4/2017,12/4/2017,,,3.349,0.061,1.821439236,,,,,,,,
10533,R20,Verde River at Tangle,verde,verde abv horseshoe,12/4/2017,12/4/2017,,,,,,,,,,,,,
10534,R25,verde river at beeline highway,verde,verde @ beeline,12/4/2017,12/4/2017,,,2.847,0.071,2.493853179,,,,,,,,
10535,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,12/4/2017,12/4/2017,,,,,,,,,,,,,
10536,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,12/4/2017,12/4/2017,,,,,,,,,,,,,
10537,R9A,Saguaro Lake near inlet,salt,saguaro-epi,12/4/2017,12/4/2017,,,,,,,,,,,,,
10538,R9A-DUP,Saguaro Lake near inlet,salt,saguaro-epi dup,12/4/2017,12/4/2017,,,,,,,,,,,,,
10539,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,12/4/2017,12/4/2017,,,,,,,,,,,,,
10540,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,12/4/2017,12/4/2017,,,3.065,0.06,1.957585644,,,,,,,,
10541,SRNR,Salt River near Roosevelt,salt,SRNR,12/4/2017,12/4/2017,,,1.04,0.034,3.269230769,,,,,,,,
10542,UH IN,Union Hills Inlet,cap,Union Hills Inlet,12/4/2017,12/4/2017,,,2.472,0.042,1.699029126,,,,,,,,
10543,UH OUT,Union Hills Treated Water,cap,Union Hills Outlet,12/4/2017,12/4/2017,,,2.145,0.022,1.025641026,,,,,,,,
10544,NP IN,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,12/4/2017,12/4/2017,,,2.858,0.071,2.484254724,,,,,,,,
10545,NP OUT,Tempe's North Plant treated water,tempe,north plant outlet,12/4/2017,12/4/2017,,,1.827,0.022,1.204159825,,,,,,,,
10546,SPT IN,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,12/4/2017,12/4/2017,,,,,,,,,,,,,
10547,SPT OUT,Tempe's South Plant treated water,tempe,STP Out,12/4/2017,12/4/2017,,,,,,,,,,,,,
10548,GR IN,Greenway WTP Inlet,srp,Green In,12/4/2017,12/4/2017,,,3.044,0.072,2.365308804,,,,,,,,
10549,GR OUT,Greenway WTP Outlet,srp,Green Out,12/4/2017,12/4/2017,,,2.146,0.023,1.071761417,,,,,,,,
10550,GL IN,Glendale WTP Inlet,,Glen In,12/4/2017,12/4/2017,,,2.919,0.065,2.226789997,,,,,,,,
10551,GL OUT,Glendale WTP Outlet,,Glen Out,12/4/2017,12/4/2017,,,1.747,0.021,1.202060675,,,,,,,,
10552,AN IN,Anthem WTP inlet,,anthem,12/4/2017,12/4/2017,,,3.017,0.04,1.325820351,,,,,,,,
10553,AN OUT,Anthem WTP outlet,,anthem,12/4/2017,12/4/2017,,,2.454,0.039,1.589242054,,,,,,,,
10554,R14,AZ Canal - Inlet to 24th St WTP,srp,az canal @ 24th St,12/4/2017,12/4/2017,,,2.844,0.067,2.35583685,,,,,,,,
10555,R15,24th St WTP treated water,srp,24th St -treated,12/4/2017,12/4/2017,,,2.039,0.029,1.422265817,,,,,,,,
10556,CH IN,Chandler WTP inlet,,chandler,12/4/2017,12/4/2017,,,,,,,,,,,,,
10557,CH OUT,Chandler WTP outlet,,chandler,12/4/2017,12/4/2017,,,,,,,,,,,,,
10558,R3,Waddell Canal,cap,waddell canal,12/4/2017,12/4/2017,,,2.543,0.043,1.690916241,,,,,,,,
10559,AN IN,Anthem WTP inlet,,anthem,12/4/2017,12/4/2017,,,3.017,0.04,1.325820351,,,,,,,,
10560,UH IN,Union Hills Inlet,cap,Union Hills Inlet,12/4/2017,12/4/2017,,,2.472,0.042,1.699029126,,,,,,,,
10561,SGPS,Salt Gila,,Salt Gila,12/4/2017,12/4/2017,,,2.75,0.043,1.563636364,,,,,,,,
10562,MTO,Mesa Turnout,,Mesa Turnout,12/4/2017,12/4/2017,,,2.813,0.046,1.635264842,,,,,,,,
10563,R11,CAP Canal at Cross-connect,cap,cap @ x con,12/4/2017,12/4/2017,,,2.669,0.042,1.57362308,,,,,,,,
10564,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,12/4/2017,12/4/2017,,,3.065,0.06,1.957585644,,,,,,,,
10565,R25,verde river at beeline highway,verde,verde @ beeline,12/4/2017,12/4/2017,,,2.847,0.071,2.493853179,,,,,,,,
10566,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,12/4/2017,12/4/2017,,,2.676,0.041,1.532137519,,,,,,,,
10567,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,12/4/2017,12/4/2017,,,2.69,0.054,2.007434944,,,,,,,,
10568,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,12/4/2017,12/4/2017,,,2.817,0.063,2.236421725,,,,,,,,
10569,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,12/4/2017,12/4/2017,,,2.841,0.066,2.32312566,,,,,,,,
10570,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,12/4/2017,12/4/2017,,,2.707,0.065,2.40118212,,,,,,,,
10571,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,12/4/2017,12/4/2017,,,2.671,0.065,2.433545489,,,,,,,,
10572,GL IN,Glendale WTP Inlet,,Glen In,12/4/2017,12/4/2017,,,3.044,0.065,2.135348226,,,,,,,,
10573,GR IN,Greenway WTP Inlet,srp,Green In,12/4/2017,12/4/2017,,,2.919,0.072,2.46659815,,,,,,,,
10574,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,12/4/2017,12/4/2017,,,,,,,,,,,,,
10575,HTC,Head of the Tempe Canal,tempe,head of tempe canal,12/4/2017,12/4/2017,,,0.4598,0.008,1.739886907,,,,,,,,
10576,SPT IN,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,12/4/2017,12/4/2017,,,,,,,,,,,,,
10577,HOC,Head of the Consolidated Canal,az canal,,12/4/2017,12/4/2017,,,0.3728,0.009,2.41416309,,,,,,,,
10578,MOC,Middle of the Consolidated canal,az canal,,12/4/2017,12/4/2017,,,0.6052,0.015,2.478519498,,,,,,,,
10579,CH IN,Chandler WTP inlet,,chandler,12/4/2017,12/4/2017,,,,,,,,,,,,,
10580,HAV,Havasu lake Sample,,Havasu,1/8/2018,1/8/2018,,,2.544,0.051,2.004716981,,,,,,,,
10581,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,1/8/2018,1/8/2018,,,3.221,0.058,1.800683018,,,,,,,,
10582,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,1/8/2018,1/8/2018,,,3.216,0.06,1.865671642,,,,,,,,
10583,R20,Verde River at Tangle,verde,verde abv horseshoe,1/8/2018,1/8/2018,,,1.48,0.031,2.094594595,,,,,,,,
10584,R25,verde river at beeline highway,verde,verde @ beeline,1/8/2018,1/8/2018,,,3.045,0.083,2.725779967,,,,,,,,
10585,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,1/8/2018,1/8/2018,,,,,,,,,,,,,
10586,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,1/8/2018,1/8/2018,,,,,,,,,,,,,
10587,R9A,Saguaro Lake near inlet,salt,saguaro-epi,1/8/2018,1/8/2018,,,,,,,,,,,,,
10588,R9A-DUP,Saguaro Lake near inlet,salt,saguaro-epi dup,1/8/2018,1/8/2018,,,,,,,,,,,,,
10589,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,1/8/2018,1/8/2018,,,,,,,,,,,,,
10590,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,1/8/2018,1/8/2018,,,3.425,0.068,1.98540146,,,,,,,,
10591,SRNR,Salt River near Roosevelt,salt,SRNR,1/8/2018,1/8/2018,,,,,,,,,,,,,
10592,UH IN,Union Hills Inlet,cap,Union Hills Inlet,1/8/2018,1/8/2018,,,2.685,0.044,1.638733706,,,,,,,,
10593,UH OUT,Union Hills Treated Water,cap,Union Hills Outlet,1/8/2018,1/8/2018,,,2.187,0.03,1.371742112,,,,,,,,
10594,NP IN,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,1/8/2018,1/8/2018,,,,,,,,,,,,,
10595,NP OUT,Tempe's North Plant treated water,tempe,north plant outlet,1/8/2018,1/8/2018,,,,,,,,,,,,,
10596,SPT IN,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,1/8/2018,1/8/2018,,,1.315,0.026,1.977186312,,,,,,,,
10597,SPT OUT,Tempe's South Plant treated water,tempe,STP Out,1/8/2018,1/8/2018,,,1.099,0.012,1.091901729,,,,,,,,
10598,GR IN,Greenway WTP Inlet,srp,Green In,1/8/2018,1/8/2018,,,,,,,,,,,,,
10599,GR OUT,Greenway WTP Outlet,srp,Green Out,1/8/2018,1/8/2018,,,,,,,,,,,,,
10600,GL IN,Glendale WTP Inlet,,Glen In,1/8/2018,1/8/2018,,,,,,,,,,,,,
10601,GL OUT,Glendale WTP Outlet,,Glen Out,1/8/2018,1/8/2018,,,,,,,,,,,,,
10602,AN IN,Anthem WTP inlet,,anthem,1/8/2018,1/8/2018,,,3.734,0.053,1.419389395,,,,,,,,
10603,AN OUT,Anthem WTP outlet,,anthem,1/8/2018,1/8/2018,,,2.873,0.049,1.705534285,,,,,,,,
10604,R14,AZ Canal - Inlet to 24th St WTP,srp,az canal @ 24th St,1/8/2018,1/8/2018,,,,,,,,,,,,,
10605,R15,24th St WTP treated water,srp,24th St -treated,1/8/2018,1/8/2018,,,,,,,,,,,,,
10606,CH IN,Chandler WTP inlet,,chandler,1/8/2018,1/8/2018,,,2.511,0.057,2.270011947,,,,,,,,
10607,CH OUT,Chandler WTP outlet,,chandler,1/8/2018,1/8/2018,,,2.389,0.02,0.837170364,,,,,,,,
10608,R3,Waddell Canal,cap,waddell canal,1/8/2018,1/8/2018,,,2.941,0.055,1.870112207,,,,,,,,
10609,AN IN,Anthem WTP inlet,,anthem,1/8/2018,1/8/2018,,,3.734,0.053,1.419389395,,,,,,,,
10610,UH IN,Union Hills Inlet,cap,Union Hills Inlet,1/8/2018,1/8/2018,,,2.685,0.044,1.638733706,,,,,,,,
10611,SGPS,Salt Gila,,Salt Gila,1/8/2018,1/8/2018,,,2.874,0.052,1.809324983,,,,,,,,
10612,MTO,Mesa Turnout,,Mesa Turnout,1/8/2018,1/8/2018,,,2.717,0.051,1.877070298,,,,,,,,
10613,R11,CAP Canal at Cross-connect,cap,cap @ x con,1/8/2018,1/8/2018,,,,,,,,,,,,,
10614,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,1/8/2018,1/8/2018,,,3.425,0.068,1.98540146,,,,,,,,
10615,R25,verde river at beeline highway,verde,verde @ beeline,1/8/2018,1/8/2018,,,3.045,0.083,2.725779967,,,,,,,,
10616,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,1/8/2018,1/8/2018,,,,,,,,,,,,,
10617,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,1/8/2018,1/8/2018,,,,,,,,,,,,,
10618,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,1/8/2018,1/8/2018,,,,,,,,,,,,,
10619,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,1/8/2018,1/8/2018,,,,,,,,,,,,,
10620,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,1/8/2018,1/8/2018,,,,,,,,,,,,,
10621,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,1/8/2018,1/8/2018,,,,,,,,,,,,,
10622,GL IN,Glendale WTP Inlet,,Glen In,1/8/2018,1/8/2018,,,,,,,,,,,,,
10623,GR IN,Greenway WTP Inlet,srp,Green In,1/8/2018,1/8/2018,,,,,,,,,,,,,
10624,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,1/8/2018,1/8/2018,,,3.12,0.074,2.371794872,,,,,,,,
10625,HTC,Head of the Tempe Canal,tempe,head of tempe canal,1/8/2018,1/8/2018,,,,0.065,,,,,,,,,
10626,SPT IN,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,1/8/2018,1/8/2018,,,1.315,0.026,1.977186312,,,,,,,,
10627,HOC,Head of the Consolidated Canal,az canal,,1/8/2018,1/8/2018,,,3.035,0.064,2.108731466,,,,,,,,
10628,MOC,Middle of the Consolidated canal,az canal,,1/8/2018,1/8/2018,,,1.803,0.039,2.163061564,,,,,,,,
10629,CH IN,Chandler WTP inlet,,chandler,1/8/2018,1/8/2018,,,2.511,0.057,2.270011947,,,,,,,,
10630,HAV,Havasu lake Sample,,Havasu,2/5/2018,2/5/2018,,,2.494,0.047,1.884522855,,,,,,,,
10631,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,2/5/2018,2/5/2018,,,3.092,0.052,1.681759379,,,,,,,,
10632,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,2/5/2018,2/5/2018,,,2.889,0.053,1.834544825,,,,,,,,
10633,R20,Verde River at Tangle,verde,verde abv horseshoe,2/5/2018,2/5/2018,,,0.9145,0.034,3.717878622,,,,,,,,
10634,R25,verde river at beeline highway,verde,verde @ beeline,2/5/2018,2/5/2018,,,3.1,0.073,2.35483871,,,,,,,,
10635,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,2/5/2018,2/5/2018,,,3.368,0.084,2.494061758,,,,,,,,
10636,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,2/5/2018,2/5/2018,,,3.952,0.089,2.252024291,,,,,,,,
10637,R9A,Saguaro Lake near inlet,salt,saguaro-epi,2/5/2018,2/5/2018,,,3.899,0.083,2.128750962,,,,,,,,
10638,R9A-DUP,Saguaro Lake near inlet,salt,saguaro-epi dup,2/5/2018,2/5/2018,,,3.836,0.084,2.189781022,,,,,,,,
10639,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,2/5/2018,2/5/2018,,,3.896,0.086,2.207392197,,,,,,,,
10640,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2/5/2018,2/5/2018,,,2.888,0.063,2.181440443,,,,,,,,
10641,SRNR,Salt River near Roosevelt,salt,SRNR,2/5/2018,2/5/2018,,,,,,,,,,,,,
10642,UH IN,Union Hills Inlet,cap,Union Hills Inlet,2/5/2018,2/5/2018,,,2.526,0.048,1.90023753,,,,,,,,
10643,UH OUT,Union Hills Treated Water,cap,Union Hills Outlet,2/5/2018,2/5/2018,,,2.137,0.026,1.216658868,,,,,,,,
10644,NP IN,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,2/5/2018,2/5/2018,,,,,,,,,,,,,
10645,NP OUT,Tempe's North Plant treated water,tempe,north plant outlet,2/5/2018,2/5/2018,,,,,,,,,,,,,
10646,SPT IN,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,2/5/2018,2/5/2018,,,3.01,0.072,2.392026578,,,,,,,,
10647,SPT OUT,Tempe's South Plant treated water,tempe,STP Out,2/5/2018,2/5/2018,,,2.28,0.036,1.578947368,,,,,,,,
10648,GR IN,Greenway WTP Inlet,srp,Green In,2/5/2018,2/5/2018,,,,,,,,,,,,,
10649,GR OUT,Greenway WTP Outlet,srp,Green Out,2/5/2018,2/5/2018,,,,,,,,,,,,,
10650,GL IN,Glendale WTP Inlet,,Glen In,2/5/2018,2/5/2018,,,,,,,,,,,,,
10651,GL OUT,Glendale WTP Outlet,,Glen Out,2/5/2018,2/5/2018,,,,,,,,,,,,,
10652,AN IN,Anthem WTP inlet,,anthem,2/5/2018,2/5/2018,,,2.925,0.048,1.641025641,,,,,,,,
10653,AN OUT,Anthem WTP outlet,,anthem,2/5/2018,2/5/2018,,,2.833,0.044,1.553123897,,,,,,,,
10654,R14,AZ Canal - Inlet to 24th St WTP,srp,az canal @ 24th St,2/5/2018,2/5/2018,,,3.382,0.062,1.833234772,,,,,,,,
10655,R15,24th St WTP treated water,srp,24th St -treated,2/5/2018,2/5/2018,,,,,,,,,,,,,
10656,CH IN,Chandler WTP inlet,,chandler,2/5/2018,2/5/2018,,,2.453,0.066,2.69058296,,,,,,,,
10657,CH OUT,Chandler WTP outlet,,chandler,2/5/2018,2/5/2018,,,2.484,0.038,1.52979066,,,,,,,,
10658,R3,Waddell Canal,cap,waddell canal,2/5/2018,2/5/2018,,,3.056,0.053,1.734293194,,,,,,,,
10659,AN IN,Anthem WTP inlet,,anthem,2/5/2018,2/5/2018,,,2.925,0.048,1.641025641,,,,,,,,
10660,UH IN,Union Hills Inlet,cap,Union Hills Inlet,2/5/2018,2/5/2018,,,2.526,0.048,1.90023753,,,,,,,,
10661,SGPS,Salt Gila,,Salt Gila,2/5/2018,2/5/2018,,,2.609,0.05,1.916443082,,,,,,,,
10662,MTO,Mesa Turnout,,Mesa Turnout,2/5/2018,2/5/2018,,,3.014,0.053,1.758460518,,,,,,,,
10663,R11,CAP Canal at Cross-connect,cap,cap @ x con,2/5/2018,2/5/2018,,,,,,,,,,,,,
10664,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2/5/2018,2/5/2018,,,2.888,0.063,2.181440443,,,,,,,,
10665,R25,verde river at beeline highway,verde,verde @ beeline,2/5/2018,2/5/2018,,,3.1,0.073,2.35483871,,,,,,,,
10666,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2/5/2018,2/5/2018,,,3.112,0.072,2.313624679,,,,,,,,
10667,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2/5/2018,2/5/2018,,,3.065,0.081,2.64274062,,,,,,,,
10668,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2/5/2018,2/5/2018,,,3.198,0.074,2.313946216,,,,,,,,
10669,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,2/5/2018,2/5/2018,,,3.03,0.078,2.574257426,,,,,,,,
10670,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2/5/2018,2/5/2018,,,1.15,0.027,2.347826087,,,,,,,,
10671,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2/5/2018,2/5/2018,,,3.328,0.069,2.073317308,,,,,,,,
10672,GL IN,Glendale WTP Inlet,,Glen In,2/5/2018,2/5/2018,,,,,,,,,,,,,
10673,GR IN,Greenway WTP Inlet,srp,Green In,2/5/2018,2/5/2018,,,,,,,,,,,,,
10674,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,2/5/2018,2/5/2018,,,2.853,0.077,2.698913424,,,,,,,,
10675,HTC,Head of the Tempe Canal,tempe,head of tempe canal,2/5/2018,2/5/2018,,,2.41,0.06,2.489626556,,,,,,,,
10676,SPT IN,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,2/5/2018,2/5/2018,,,3.01,0.072,2.392026578,,,,,,,,
10677,HOC,Head of the Consolidated Canal,az canal,,2/5/2018,2/5/2018,,,2.363,0.06,2.539145154,,,,,,,,
10678,MOC,Middle of the Consolidated canal,az canal,,2/5/2018,2/5/2018,,,2.938,0.074,2.518720218,,,,,,,,
10679,CH IN,Chandler WTP inlet,,chandler,2/5/2018,2/5/2018,,,2.453,0.066,2.69058296,,,,,,,,
10680,HAV,Havasu lake Sample,,Havasu,3/5/2018,3/5/2018,,,2.755,0.053,1.923774955,,,,,,,,
10681,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,3/5/2018,3/5/2018,,,3.445,0.055,1.596516691,,,,,,,,
10682,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,3/5/2018,3/5/2018,,,3.511,0.056,1.594987183,,,,,,,,
10683,R20,Verde River at Tangle,verde,verde abv horseshoe,3/5/2018,3/5/2018,,,0.7551,0.019,2.516223017,,,,,,,,
10684,R25,verde river at beeline highway,verde,verde @ beeline,3/5/2018,3/5/2018,,,3.931,0.071,1.806156194,,,,,,,,
10685,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,3/5/2018,3/5/2018,,,,,,,,,,,,,
10686,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,3/5/2018,3/5/2018,,,,,,,,,,,,,
10687,R9A,Saguaro Lake near inlet,salt,saguaro-epi,3/5/2018,3/5/2018,,,,,,,,,,,,,
10688,R9A-DUP,Saguaro Lake near inlet,salt,saguaro-epi dup,3/5/2018,3/5/2018,,,,,,,,,,,,,
10689,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,3/5/2018,3/5/2018,,,,,,,,,,,,,
10690,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,3/5/2018,3/5/2018,,,3.009,0.064,2.126952476,,,,,,,,
10691,SRNR,Salt River near Roosevelt,salt,SRNR,3/5/2018,3/5/2018,,,,,,,,,,,,,
10692,UH IN,Union Hills Inlet,cap,Union Hills Inlet,3/5/2018,3/5/2018,,,2.393,0.044,1.838696197,,,,,,,,
10693,UH OUT,Union Hills Treated Water,cap,Union Hills Outlet,3/5/2018,3/5/2018,,,1.936,0.024,1.239669421,,,,,,,,
10694,NP IN,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,3/5/2018,3/5/2018,,,2.616,0.055,2.102446483,,,,,,,,
10695,NP OUT,Tempe's North Plant treated water,tempe,north plant outlet,3/5/2018,3/5/2018,,,,,,,,,,,,,
10696,SPT IN,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,3/5/2018,3/5/2018,,,1.024,0.024,2.34375,,,,,,,,
10697,SPT OUT,Tempe's South Plant treated water,tempe,STP Out,3/5/2018,3/5/2018,,,0.8039,0.011,1.368329394,,,,,,,,
10698,GR IN,Greenway WTP Inlet,srp,Green In,3/5/2018,3/5/2018,,,,,,,,,,,,,
