ID,Site Number,Site location,Cluster,Site Acronym,month/date,Arsenic (ug/L),Perchlorate (ug/L)
917,UH In,Union Hills Inlet,cap,Union Hills Inlet,5/15/2006,2.8,
918,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,5/15/2006,0.0,
919,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,5/15/2006,4.8,
920,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,5/15/2006,2.2,
921,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,5/15/2006,2.9,
922,HTC,Head of the Tempe Canal,tempe,head of tempe canal,5/15/2006,4.7,
923,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,5/15/2006,5.1,
924,SPT Out,Tempe's South Plant treated water,tempe,STP Out,5/15/2006,3.5,
925,Green In,Greenway WTP Inlet,srp,Green In,5/15/2006,4.9,
926,Green Out,Greenway WTP Outlet,srp,Green Out,5/15/2006,4.0,
927,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,5/15/2006,3.8,
928,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,5/15/2006,4.2,
929,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,5/15/2006,11.7,
930,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,5/15/2006,9.2,
931,R9A,Saguaro Lake near inlet,salt,saguaro-epi,5/15/2006,4.7,
932,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,5/15/2006,4.7,
933,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,5/15/2006,4.8,
934,R20,Verde River at Tangle,verde,verde abv horseshoe,5/15/2006,17.0,
935,Havasu 1,Havasu lake Sample,,Havasu 1,5/15/2006,2.2,
936,Havasu 2,Havasu lake Sample,,Havasu 2,5/15/2006,,
937,R3,Waddell Canal,cap,waddell canal,6/13/2006,2.2,
938,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,6/13/2006,5.4,
939,R11,CAP Canal at Cross-connect,cap,cap @ x con,6/13/2006,2.2,
940,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,6/13/2006,2.1,
941,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,6/13/2006,4.0,
