"site number","site location","cluster","site acronym","date","sample type","MIB (ng/L) ASU","geosmin (ng/L) ASU","beta-cyclocitral (ng/L)","IPMP recovery (%)","MIB (ng/L) Phoenix","geosmin (ng/L) Phoenix","comments"
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2000-01-11,NA,2.5,0,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2000-01-11,NA,NA,NA,NA,NA,NA,NA,"az canal shut down"
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",2000-01-11,NA,NA,NA,NA,NA,NA,NA,"az canal shut down"
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",2000-01-11,NA,NA,NA,NA,NA,NA,NA,"az canal shut down"
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",2000-01-11,NA,NA,NA,NA,NA,NA,NA,"az canal shut down"
"R17","Deer Valley WTP treated water","srp","deer valley-treated",2000-01-11,NA,NA,NA,NA,NA,NA,NA,"az canal shut down"
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",2000-01-11,NA,0,0,NA,NA,10,3,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",2000-01-11,NA,0,0,NA,NA,11,3,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro",2000-01-11,NA,0,0,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",2000-01-11,NA,0,0,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",2000-01-11,NA,0,0,NA,NA,5,3,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon",2000-01-12,NA,0,0,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2000-01-12,NA,0,0,NA,NA,10,0,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2000-01-12,NA,2.9,0,NA,NA,6,0,NA
"R3","Waddell Canal","cap","waddell canal",2000-01-12,NA,0,0,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st",2000-01-12,NA,0,0,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett",2000-01-12,NA,0,0,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",2000-01-12,NA,0,0,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",2000-01-12,NA,0,0,NA,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett",2000-01-12,NA,0,0,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",2000-01-30,NA,0,0,NA,82,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2000-02-14,NA,0,2.1,NA,110.3,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2000-02-14,NA,0,0,NA,80,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2000-02-14,NA,2.1,0,NA,96.7,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2000-02-14,NA,0,0,NA,92.4,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro",2000-02-14,NA,0,0,NA,110.4,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",2000-02-14,NA,0,0,NA,82.8,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",2000-02-14,NA,0,0,NA,89.6,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon",2000-02-15,NA,0,0,NA,77.1,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2000-02-15,NA,0,0,NA,56.2,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2000-02-15,NA,0,0,NA,72,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2000-02-15,NA,0,0,NA,69.7,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st",2000-02-15,NA,0,0,NA,93.1,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett",2000-02-15,NA,0,0,NA,93.1,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",2000-02-15,NA,0,0,NA,60.8,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",2000-02-15,NA,0,0,NA,113.1,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett",2000-02-15,NA,0,0,NA,76.5,NA,NA,NA
"field_blank","field blank",NA,NA,2000-02-16,"field blank",NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,2000-02-16,"lab blank",0,0,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",2000-02-16,NA,2.2,0,NA,97.5,15,2,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",2000-02-16,NA,NA,NA,NA,NA,NA,NA,"squaw peak wtp off-line, no sample collected"
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",2000-02-16,NA,5.6,2.8,NA,107.4,31,6,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",2000-02-16,NA,NA,NA,NA,NA,NA,NA,"deer valley wtp off-line, no sample collected"
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",2000-02-16,NA,0,0,NA,92.2,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",2000-02-16,NA,0,0,NA,70.6,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",2000-03-09,NA,0,2.1,NA,103,NA,NA,NA
"field_blank","field blank",NA,NA,2000-03-15,"field blank",NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,2000-03-15,"lab blank",0,0,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",2000-03-15,NA,11.4,4,NA,115,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",2000-03-15,NA,7.2,0,NA,105,NA,NA,NA
